CYCLE	CMDPOS3	CMDPOS4	CMDPOS5	CMDPOS6	CMDPOS7	out_0.0	in_0.0	
2432	302.956	0.000	0.000	0.000	0.000	0	0	
2433	302.967	0.000	0.000	0.000	0.000	0	0	
2434	302.976	0.000	0.000	0.000	0.000	0	0	
2435	302.983	0.000	0.000	0.000	0.000	0	0	
2436	302.989	0.000	0.000	0.000	0.000	0	0	
2437	302.993	0.000	0.000	0.000	0.000	0	0	
2438	302.996	0.000	0.000	0.000	0.000	0	0	
2439	302.998	0.000	0.000	0.000	0.000	0	0	
2440	302.999	0.000	0.000	0.000	0.000	0	0	
2441	303.000	0.000	0.000	0.000	0.000	0	0	
2442	303.000	0.000	0.000	0.000	0.000	0	0	
2443	303.000	0.000	0.000	0.000	0.000	0	0	
2444	303.000	0.000	0.000	0.000	0.000	0	0	
2445	303.000	0.044	0.000	0.000	0.000	0	0	
2446	303.000	0.176	0.000	0.000	0.000	0	0	
2447	303.000	0.397	0.000	0.000	0.000	0	0	
2448	303.000	0.705	0.000	0.000	0.000	0	0	
2449	303.000	1.102	0.000	0.000	0.000	0	0	
2450	303.000	1.587	0.000	0.000	0.000	0	0	
2451	303.000	2.160	0.000	0.000	0.000	0	0	
2452	303.000	2.821	0.000	0.000	0.000	0	0	
2453	303.000	3.570	0.000	0.000	0.000	0	0	
2454	303.000	4.407	0.000	0.000	0.000	0	0	
2455	303.000	5.333	0.000	0.000	0.000	0	0	
2456	303.000	6.346	0.000	0.000	0.000	0	0	
2457	303.000	7.448	0.000	0.000	0.000	0	0	
2458	303.000	8.638	0.000	0.000	0.000	0	0	
2459	303.000	9.916	0.000	0.000	0.000	0	0	
2460	303.000	11.283	0.000	0.000	0.000	0	0	
2461	303.000	12.737	0.000	0.000	0.000	0	0	
2462	303.000	14.280	0.000	0.000	0.000	0	0	
2463	303.000	15.910	0.000	0.000	0.000	0	0	
2464	303.000	17.629	0.000	0.000	0.000	0	0	
2465	303.000	19.436	0.000	0.000	0.000	0	0	
2466	303.000	21.331	0.000	0.000	0.000	0	0	
2467	303.000	23.314	0.000	0.000	0.000	0	0	
2468	303.000	25.386	0.000	0.000	0.000	0	0	
2469	303.000	27.545	0.000	0.000	0.000	0	0	
2470	303.000	29.793	0.000	0.000	0.000	0	0	
2471	303.000	32.124	0.000	0.000	0.000	0	0	
2472	303.000	34.537	0.000	0.000	0.000	0	0	
2473	303.000	37.028	0.000	0.000	0.000	0	0	
2474	303.000	39.592	0.000	0.000	0.000	0	0	
2475	303.000	42.227	0.000	0.000	0.000	0	0	
2476	303.000	44.929	0.000	0.000	0.000	0	0	
2477	303.000	47.694	0.000	0.000	0.000	0	0	
2478	303.000	50.520	0.000	0.000	0.000	0	0	
2479	303.000	53.401	0.000	0.000	0.000	0	0	
2480	303.000	56.336	0.000	0.000	0.000	0	0	
2481	303.000	59.320	0.000	0.000	0.000	0	0	
2482	303.000	62.350	0.000	0.000	0.000	0	0	
2483	303.000	65.422	0.000	0.000	0.000	0	0	
2484	303.000	68.533	0.000	0.000	0.000	0	0	
2485	303.000	71.679	0.000	0.000	0.000	0	0	
2486	303.000	74.857	0.000	0.000	0.000	0	0	
2487	303.000	78.063	0.000	0.000	0.000	0	0	
2488	303.000	81.294	0.000	0.000	0.000	0	0	
2489	303.000	84.546	0.000	0.000	0.000	0	0	
2490	303.000	87.816	0.000	0.000	0.000	0	0	
2491	303.000	91.100	0.000	0.000	0.000	0	0	
2492	303.000	94.394	0.000	0.000	0.000	0	0	
2493	303.000	97.695	0.000	0.000	0.000	0	0	
2494	303.000	101.000	0.000	0.000	0.000	0	0	
2495	303.000	104.305	0.000	0.000	0.000	0	0	
2496	303.000	107.610	0.000	0.000	0.000	0	0	
2497	303.000	110.915	0.000	0.000	0.000	0	0	
2498	303.000	114.218	0.000	0.000	0.000	0	0	
2499	303.000	117.519	0.000	0.000	0.000	0	0	
2500	303.000	120.819	0.000	0.000	0.000	0	0	
2501	303.000	124.116	0.000	0.000	0.000	0	0	
2502	303.000	127.410	0.000	0.000	0.000	0	0	
2503	303.000	130.701	0.000	0.000	0.000	0	0	
2504	303.000	133.989	0.000	0.000	0.000	0	0	
2505	303.000	137.273	0.000	0.000	0.000	0	0	
2506	303.000	140.553	0.000	0.000	0.000	0	0	
2507	303.000	143.827	0.000	0.000	0.000	0	0	
2508	303.000	147.097	0.000	0.000	0.000	0	0	
2509	303.000	150.361	0.000	0.000	0.000	0	0	
2510	303.000	153.620	0.000	0.000	0.000	0	0	
2511	303.000	156.872	0.000	0.000	0.000	0	0	
2512	303.000	160.117	0.000	0.000	0.000	0	0	
2513	303.000	163.356	0.000	0.000	0.000	0	0	
2514	303.000	166.587	0.000	0.000	0.000	0	0	
2515	303.000	169.810	0.000	0.000	0.000	0	0	
2516	303.000	173.025	0.000	0.000	0.000	0	0	
2517	303.000	176.231	0.000	0.000	0.000	0	0	
2518	303.000	179.428	0.000	0.000	0.000	0	0	
2519	303.000	182.616	0.000	0.000	0.000	0	0	
2520	303.000	185.794	0.000	0.000	0.000	0	0	
2521	303.000	188.962	0.000	0.000	0.000	0	0	
2522	303.000	192.119	0.000	0.000	0.000	0	0	
2523	303.000	195.266	0.000	0.000	0.000	0	0	
2524	303.000	198.401	0.000	0.000	0.000	0	0	
2525	303.000	201.524	0.000	0.000	0.000	0	0	
2526	303.000	204.635	0.000	0.000	0.000	0	0	
2527	303.000	207.734	0.000	0.000	0.000	0	0	
2528	303.000	210.819	0.000	0.000	0.000	0	0	
2529	303.000	213.891	0.000	0.000	0.000	0	0	
2530	303.000	216.950	0.000	0.000	0.000	0	0	
2531	303.000	219.995	0.000	0.000	0.000	0	0	
2532	303.000	223.025	0.000	0.000	0.000	0	0	
2533	303.000	226.040	0.000	0.000	0.000	0	0	
2534	303.000	229.039	0.000	0.000	0.000	0	0	
2535	303.000	232.024	0.000	0.000	0.000	0	0	
2536	303.000	234.992	0.000	0.000	0.000	0	0	
2537	303.000	237.943	0.000	0.000	0.000	0	0	
2538	303.000	240.878	0.000	0.000	0.000	0	0	
2539	303.000	243.796	0.000	0.000	0.000	0	0	
2540	303.000	246.696	0.000	0.000	0.000	0	0	
2541	303.000	249.577	0.000	0.000	0.000	0	0	
2542	303.000	252.441	0.000	0.000	0.000	0	0	
2543	303.000	255.286	0.000	0.000	0.000	0	0	
2544	303.000	258.111	0.000	0.000	0.000	0	0	
2545	303.000	260.917	0.000	0.000	0.000	0	0	
2546	303.000	263.703	0.000	0.000	0.000	0	0	
2547	303.000	266.468	0.000	0.000	0.000	0	0	
2548	303.000	269.213	0.000	0.000	0.000	0	0	
2549	303.000	271.937	0.000	0.000	0.000	0	0	
2550	303.000	274.639	0.000	0.000	0.000	0	0	
2551	303.000	277.319	0.000	0.000	0.000	0	0	
2552	303.000	279.977	0.000	0.000	0.000	0	0	
2553	303.000	282.612	0.000	0.000	0.000	0	0	
2554	303.000	285.224	0.000	0.000	0.000	0	0	
2555	303.000	287.812	0.000	0.000	0.000	0	0	
2556	303.000	290.377	0.000	0.000	0.000	0	0	
2557	303.000	292.917	0.000	0.000	0.000	0	0	
2558	303.000	295.433	0.000	0.000	0.000	0	0	
2559	303.000	297.923	0.000	0.000	0.000	0	0	
2560	303.000	300.389	0.000	0.000	0.000	0	0	
2561	303.000	302.828	0.000	0.000	0.000	0	0	
2562	303.000	305.241	0.000	0.000	0.000	0	0	
2563	303.000	307.627	0.000	0.000	0.000	0	0	
2564	303.000	309.986	0.000	0.000	0.000	0	0	
2565	303.000	312.318	0.000	0.000	0.000	0	0	
2566	303.000	314.622	0.000	0.000	0.000	0	0	
2567	303.000	316.898	0.000	0.000	0.000	0	0	
2568	303.000	319.145	0.000	0.000	0.000	0	0	
2569	303.000	321.364	0.000	0.000	0.000	0	0	
2570	303.000	323.553	0.000	0.000	0.000	0	0	
2571	303.000	325.712	0.000	0.000	0.000	0	0	
2572	303.000	327.842	0.000	0.000	0.000	0	0	
2573	303.000	329.943	0.000	0.000	0.000	0	0	
2574	303.000	332.015	0.000	0.000	0.000	0	0	
2575	303.000	334.057	0.000	0.000	0.000	0	0	
2576	303.000	336.069	0.000	0.000	0.000	0	0	
2577	303.000	338.053	0.000	0.000	0.000	0	0	
2578	303.000	340.006	0.000	0.000	0.000	0	0	
2579	303.000	341.931	0.000	0.000	0.000	0	0	
2580	303.000	343.826	0.000	0.000	0.000	0	0	
2581	303.000	345.692	0.000	0.000	0.000	0	0	
2582	303.000	347.528	0.000	0.000	0.000	0	0	
2583	303.000	349.335	0.000	0.000	0.000	0	0	
2584	303.000	351.113	0.000	0.000	0.000	0	0	
2585	303.000	352.861	0.000	0.000	0.000	0	0	
2586	303.000	354.580	0.000	0.000	0.000	0	0	
2587	303.000	356.269	0.000	0.000	0.000	0	0	
2588	303.000	357.929	0.000	0.000	0.000	0	0	
2589	303.000	359.560	0.000	0.000	0.000	0	0	
2590	303.000	361.161	0.000	0.000	0.000	0	0	
2591	303.000	362.733	0.000	0.000	0.000	0	0	
2592	303.000	364.276	0.000	0.000	0.000	0	0	
2593	303.000	365.789	0.000	0.000	0.000	0	0	
2594	303.000	367.273	0.000	0.000	0.000	0	0	
2595	303.000	368.727	0.000	0.000	0.000	0	0	
2596	303.000	370.152	0.000	0.000	0.000	0	0	
2597	303.000	371.548	0.000	0.000	0.000	0	0	
2598	303.000	372.914	0.000	0.000	0.000	0	0	
2599	303.000	374.251	0.000	0.000	0.000	0	0	
2600	303.000	375.558	0.000	0.000	0.000	0	0	
2601	303.000	376.837	0.000	0.000	0.000	0	0	
2602	303.000	378.085	0.000	0.000	0.000	0	0	
2603	303.000	379.305	0.000	0.000	0.000	0	0	
2604	303.000	380.495	0.000	0.000	0.000	0	0	
2605	303.000	381.655	0.000	0.000	0.000	0	0	
2606	303.000	382.786	0.000	0.000	0.000	0	0	
2607	303.000	383.888	0.000	0.000	0.000	0	0	
2608	303.000	384.961	0.000	0.000	0.000	0	0	
2609	303.000	386.004	0.000	0.000	0.000	0	0	
2610	303.000	387.017	0.000	0.000	0.000	0	0	
2611	303.000	388.002	0.000	0.000	0.000	0	0	
2612	303.000	388.957	0.000	0.000	0.000	0	0	
2613	303.000	389.882	0.000	0.000	0.000	0	0	
2614	303.000	390.778	0.000	0.000	0.000	0	0	
2615	303.000	391.645	0.000	0.000	0.000	0	0	
2616	303.000	392.482	0.000	0.000	0.000	0	0	
2617	303.000	393.290	0.000	0.000	0.000	0	0	
2618	303.000	394.069	0.000	0.000	0.000	0	0	
2619	303.000	394.818	0.000	0.000	0.000	0	0	
2620	303.000	395.538	0.000	0.000	0.000	0	0	
2621	303.000	396.229	0.000	0.000	0.000	0	0	
2622	303.000	396.890	0.000	0.000	0.000	0	0	
2623	303.000	397.521	0.000	0.000	0.000	0	0	
2624	303.000	398.124	0.000	0.000	0.000	0	0	
2625	303.000	398.697	0.000	0.000	0.000	0	0	
2626	303.000	399.240	0.000	0.000	0.000	0	0	
2627	303.000	399.754	0.000	0.000	0.000	0	0	
2628	303.000	400.239	0.000	0.000	0.000	0	0	
2629	303.000	400.695	0.000	0.000	0.000	0	0	
2630	303.000	401.121	0.000	0.000	0.000	0	0	
2631	303.000	401.517	0.000	0.000	0.000	0	0	
2632	303.000	401.885	0.000	0.000	0.000	0	0	
2633	303.000	402.222	0.000	0.000	0.000	0	0	
2634	303.000	402.531	0.000	0.000	0.000	0	0	
2635	303.000	402.810	0.000	0.000	0.000	0	0	
2636	303.000	403.060	0.000	0.000	0.000	0	0	
2637	303.000	403.280	0.000	0.000	0.000	0	0	
2638	303.000	403.471	0.000	0.000	0.000	0	0	
2639	303.000	403.633	0.000	0.000	0.000	0	0	
2640	303.000	403.765	0.000	0.000	0.000	0	0	
2641	303.000	403.868	0.000	0.000	0.000	0	0	
2642	303.000	403.941	0.000	0.000	0.000	0	0	
2643	303.000	403.985	0.000	0.000	0.000	0	0	
2644	303.000	404.000	0.000	0.000	0.000	0	0	
2645	303.000	404.000	-0.000	0.000	0.000	0	0	
2646	303.000	404.000	-0.000	0.000	0.000	0	0	
2647	303.000	404.000	-0.002	0.000	0.000	0	0	
2648	303.000	404.000	-0.006	0.000	0.000	0	0	
2649	303.000	404.000	-0.014	0.000	0.000	0	0	
2650	303.000	404.000	-0.030	0.000	0.000	0	0	
2651	303.000	404.000	-0.055	0.000	0.000	0	0	
2652	303.000	404.000	-0.094	0.000	0.000	0	0	
2653	303.000	404.000	-0.150	0.000	0.000	0	0	
2654	303.000	404.000	-0.226	0.000	0.000	0	0	
2655	303.000	404.000	-0.325	0.000	0.000	0	0	
2656	303.000	404.000	-0.448	0.000	0.000	0	0	
2657	303.000	404.000	-0.597	0.000	0.000	0	0	
2658	303.000	404.000	-0.773	0.000	0.000	0	0	
2659	303.000	404.000	-0.975	0.000	0.000	0	0	
2660	303.000	404.000	-1.205	0.000	0.000	0	0	
2661	303.000	404.000	-1.462	0.000	0.000	0	0	
2662	303.000	404.000	-1.745	0.000	0.000	0	0	
2663	303.000	404.000	-2.056	0.000	0.000	0	0	
2664	303.000	404.000	-2.394	0.000	0.000	0	0	
2665	303.000	404.000	-2.759	0.000	0.000	0	0	
2666	303.000	404.000	-3.151	0.000	0.000	0	0	
2667	303.000	404.000	-3.570	0.000	0.000	0	0	
2668	303.000	404.000	-4.016	0.000	0.000	0	0	
2669	303.000	404.000	-4.489	0.000	0.000	0	0	
2670	303.000	404.000	-4.989	0.000	0.000	0	0	
2671	303.000	404.000	-5.516	0.000	0.000	0	0	
2672	303.000	404.000	-6.070	0.000	0.000	0	0	
2673	303.000	404.000	-6.651	0.000	0.000	0	0	
2674	303.000	404.000	-7.259	0.000	0.000	0	0	
2675	303.000	404.000	-7.894	0.000	0.000	0	0	
2676	303.000	404.000	-8.556	0.000	0.000	0	0	
2677	303.000	404.000	-9.245	0.000	0.000	0	0	
2678	303.000	404.000	-9.962	0.000	0.000	0	0	
2679	303.000	404.000	-10.705	0.000	0.000	0	0	
2680	303.000	404.000	-11.475	0.000	0.000	0	0	
2681	303.000	404.000	-12.273	0.000	0.000	0	0	
2682	303.000	404.000	-13.097	0.000	0.000	0	0	
2683	303.000	404.000	-13.948	0.000	0.000	0	0	
2684	303.000	404.000	-14.825	0.000	0.000	0	0	
2685	303.000	404.000	-15.726	0.000	0.000	0	0	
2686	303.000	404.000	-16.650	0.000	0.000	0	0	
2687	303.000	404.000	-17.594	0.000	0.000	0	0	
2688	303.000	404.000	-18.555	0.000	0.000	0	0	
2689	303.000	404.000	-19.530	0.000	0.000	0	0	
2690	303.000	404.000	-20.514	0.000	0.000	0	0	
2691	303.000	404.000	-21.506	0.000	0.000	0	0	
2692	303.000	404.000	-22.502	0.000	0.000	0	0	
2693	303.000	404.000	-23.500	0.000	0.000	0	0	
2694	303.000	404.000	-24.500	0.000	0.000	0	0	
2695	303.000	404.000	-25.500	0.000	0.000	0	0	
2696	303.000	404.000	-26.500	0.000	0.000	0	0	
2697	303.000	404.000	-27.500	0.000	0.000	0	0	
2698	303.000	404.000	-28.500	0.000	0.000	0	0	
2699	303.000	404.000	-29.500	0.000	0.000	0	0	
2700	303.000	404.000	-30.500	0.000	0.000	0	0	
2701	303.000	404.000	-31.500	0.000	0.000	0	0	
2702	303.000	404.000	-32.500	0.000	0.000	0	0	
2703	303.000	404.000	-33.500	0.000	0.000	0	0	
2704	303.000	404.000	-34.500	0.000	0.000	0	0	
2705	303.000	404.000	-35.500	0.000	0.000	0	0	
2706	303.000	404.000	-36.500	0.000	0.000	0	0	
2707	303.000	404.000	-37.500	0.000	0.000	0	0	
2708	303.000	404.000	-38.500	0.000	0.000	0	0	
2709	303.000	404.000	-39.500	0.000	0.000	0	0	
2710	303.000	404.000	-40.500	0.000	0.000	0	0	
2711	303.000	404.000	-41.500	0.000	0.000	0	0	
2712	303.000	404.000	-42.500	0.000	0.000	0	0	
2713	303.000	404.000	-43.500	0.000	0.000	0	0	
2714	303.000	404.000	-44.500	0.000	0.000	0	0	
2715	303.000	404.000	-45.500	0.000	0.000	0	0	
2716	303.000	404.000	-46.500	0.000	0.000	0	0	
2717	303.000	404.000	-47.500	0.000	0.000	0	0	
2718	303.000	404.000	-48.500	0.000	0.000	0	0	
2719	303.000	404.000	-49.500	0.000	0.000	0	0	
2720	303.000	404.000	-50.500	0.000	0.000	0	0	
2721	303.000	404.000	-51.500	0.000	0.000	0	0	
2722	303.000	404.000	-52.500	0.000	0.000	0	0	
2723	303.000	404.000	-53.500	0.000	0.000	0	0	
2724	303.000	404.000	-54.500	0.000	0.000	0	0	
2725	303.000	404.000	-55.500	0.000	0.000	0	0	
2726	303.000	404.000	-56.500	0.000	0.000	0	0	
2727	303.000	404.000	-57.500	0.000	0.000	0	0	
2728	303.000	404.000	-58.500	0.000	0.000	0	0	
2729	303.000	404.000	-59.500	0.000	0.000	0	0	
2730	303.000	404.000	-60.500	0.000	0.000	0	0	
2731	303.000	404.000	-61.500	0.000	0.000	0	0	
2732	303.000	404.000	-62.500	0.000	0.000	0	0	
2733	303.000	404.000	-63.500	0.000	0.000	0	0	
2734	303.000	404.000	-64.500	0.000	0.000	0	0	
2735	303.000	404.000	-65.500	0.000	0.000	0	0	
2736	303.000	404.000	-66.500	0.000	0.000	0	0	
2737	303.000	404.000	-67.500	0.000	0.000	0	0	
2738	303.000	404.000	-68.500	0.000	0.000	0	0	
2739	303.000	404.000	-69.500	0.000	0.000	0	0	
2740	303.000	404.000	-70.500	0.000	0.000	0	0	
2741	303.000	404.000	-71.500	0.000	0.000	0	0	
2742	303.000	404.000	-72.500	0.000	0.000	0	0	
2743	303.000	404.000	-73.500	0.000	0.000	0	0	
2744	303.000	404.000	-74.500	0.000	0.000	0	0	
2745	303.000	404.000	-75.500	0.000	0.000	0	0	
2746	303.000	404.000	-76.500	0.000	0.000	0	0	
2747	303.000	404.000	-77.500	0.000	0.000	0	0	
2748	303.000	404.000	-78.500	0.000	0.000	0	0	
2749	303.000	404.000	-79.500	0.000	0.000	0	0	
2750	303.000	404.000	-80.500	0.000	0.000	0	0	
2751	303.000	404.000	-81.500	0.000	0.000	0	0	
2752	303.000	404.000	-82.500	0.000	0.000	0	0	
2753	303.000	404.000	-83.500	0.000	0.000	0	0	
2754	303.000	404.000	-84.500	0.000	0.000	0	0	
2755	303.000	404.000	-85.500	0.000	0.000	0	0	
2756	303.000	404.000	-86.500	0.000	0.000	0	0	
2757	303.000	404.000	-87.500	0.000	0.000	0	0	
2758	303.000	404.000	-88.500	0.000	0.000	0	0	
2759	303.000	404.000	-89.500	0.000	0.000	0	0	
2760	303.000	404.000	-90.500	0.000	0.000	0	0	
2761	303.000	404.000	-91.500	0.000	0.000	0	0	
2762	303.000	404.000	-92.500	0.000	0.000	0	0	
2763	303.000	404.000	-93.500	0.000	0.000	0	0	
2764	303.000	404.000	-94.500	0.000	0.000	0	0	
2765	303.000	404.000	-95.500	0.000	0.000	0	0	
2766	303.000	404.000	-96.500	0.000	0.000	0	0	
2767	303.000	404.000	-97.500	0.000	0.000	0	0	
2768	303.000	404.000	-98.500	0.000	0.000	0	0	
2769	303.000	404.000	-99.500	0.000	0.000	0	0	
2770	303.000	404.000	-100.500	0.000	0.000	0	0	
2771	303.000	404.000	-101.500	0.000	0.000	0	0	
2772	303.000	404.000	-102.500	0.000	0.000	0	0	
2773	303.000	404.000	-103.500	0.000	0.000	0	0	
2774	303.000	404.000	-104.500	0.000	0.000	0	0	
2775	303.000	404.000	-105.500	0.000	0.000	0	0	
2776	303.000	404.000	-106.500	0.000	0.000	0	0	
2777	303.000	404.000	-107.500	0.000	0.000	0	0	
2778	303.000	404.000	-108.500	0.000	0.000	0	0	
2779	303.000	404.000	-109.500	0.000	0.000	0	0	
2780	303.000	404.000	-110.500	0.000	0.000	0	0	
2781	303.000	404.000	-111.500	0.000	0.000	0	0	
2782	303.000	404.000	-112.500	0.000	0.000	0	0	
2783	303.000	404.000	-113.500	0.000	0.000	0	0	
2784	303.000	404.000	-114.500	0.000	0.000	0	0	
2785	303.000	404.000	-115.500	0.000	0.000	0	0	
2786	303.000	404.000	-116.500	0.000	0.000	0	0	
2787	303.000	404.000	-117.500	0.000	0.000	0	0	
2788	303.000	404.000	-118.500	0.000	0.000	0	0	
2789	303.000	404.000	-119.500	0.000	0.000	0	0	
2790	303.000	404.000	-120.500	0.000	0.000	0	0	
2791	303.000	404.000	-121.500	0.000	0.000	0	0	
2792	303.000	404.000	-122.500	0.000	0.000	0	0	
2793	303.000	404.000	-123.500	0.000	0.000	0	0	
2794	303.000	404.000	-124.500	0.000	0.000	0	0	
2795	303.000	404.000	-125.500	0.000	0.000	0	0	
2796	303.000	404.000	-126.500	0.000	0.000	0	0	
2797	303.000	404.000	-127.500	0.000	0.000	0	0	
2798	303.000	404.000	-128.500	0.000	0.000	0	0	
2799	303.000	404.000	-129.500	0.000	0.000	0	0	
2800	303.000	404.000	-130.500	0.000	0.000	0	0	
2801	303.000	404.000	-131.500	0.000	0.000	0	0	
2802	303.000	404.000	-132.500	0.000	0.000	0	0	
2803	303.000	404.000	-133.500	0.000	0.000	0	0	
2804	303.000	404.000	-134.500	0.000	0.000	0	0	
2805	303.000	404.000	-135.500	0.000	0.000	0	0	
2806	303.000	404.000	-136.500	0.000	0.000	0	0	
2807	303.000	404.000	-137.500	0.000	0.000	0	0	
2808	303.000	404.000	-138.500	0.000	0.000	0	0	
2809	303.000	404.000	-139.500	0.000	0.000	0	0	
2810	303.000	404.000	-140.500	0.000	0.000	0	0	
2811	303.000	404.000	-141.500	0.000	0.000	0	0	
2812	303.000	404.000	-142.500	0.000	0.000	0	0	
2813	303.000	404.000	-143.500	0.000	0.000	0	0	
2814	303.000	404.000	-144.500	0.000	0.000	0	0	
2815	303.000	404.000	-145.500	0.000	0.000	0	0	
2816	303.000	404.000	-146.500	0.000	0.000	0	0	
2817	303.000	404.000	-147.500	0.000	0.000	0	0	
2818	303.000	404.000	-148.500	0.000	0.000	0	0	
2819	303.000	404.000	-149.500	0.000	0.000	0	0	
2820	303.000	404.000	-150.500	0.000	0.000	0	0	
2821	303.000	404.000	-151.500	0.000	0.000	0	0	
2822	303.000	404.000	-152.500	0.000	0.000	0	0	
2823	303.000	404.000	-153.500	0.000	0.000	0	0	
2824	303.000	404.000	-154.500	0.000	0.000	0	0	
2825	303.000	404.000	-155.500	0.000	0.000	0	0	
2826	303.000	404.000	-156.500	0.000	0.000	0	0	
2827	303.000	404.000	-157.500	0.000	0.000	0	0	
2828	303.000	404.000	-158.500	0.000	0.000	0	0	
2829	303.000	404.000	-159.500	0.000	0.000	0	0	
2830	303.000	404.000	-160.500	0.000	0.000	0	0	
2831	303.000	404.000	-161.500	0.000	0.000	0	0	
2832	303.000	404.000	-162.500	0.000	0.000	0	0	
2833	303.000	404.000	-163.500	0.000	0.000	0	0	
2834	303.000	404.000	-164.500	0.000	0.000	0	0	
2835	303.000	404.000	-165.500	0.000	0.000	0	0	
2836	303.000	404.000	-166.500	0.000	0.000	0	0	
2837	303.000	404.000	-167.500	0.000	0.000	0	0	
2838	303.000	404.000	-168.500	0.000	0.000	0	0	
2839	303.000	404.000	-169.500	0.000	0.000	0	0	
2840	303.000	404.000	-170.500	0.000	0.000	0	0	
2841	303.000	404.000	-171.500	0.000	0.000	0	0	
2842	303.000	404.000	-172.500	0.000	0.000	0	0	
2843	303.000	404.000	-173.500	0.000	0.000	0	0	
2844	303.000	404.000	-174.500	0.000	0.000	0	0	
2845	303.000	404.000	-175.500	0.000	0.000	0	0	
2846	303.000	404.000	-176.500	0.000	0.000	0	0	
2847	303.000	404.000	-177.500	0.000	0.000	0	0	
2848	303.000	404.000	-178.500	0.000	0.000	0	0	
2849	303.000	404.000	-179.500	0.000	0.000	0	0	
2850	303.000	404.000	-180.500	0.000	0.000	0	0	
2851	303.000	404.000	-181.500	0.000	0.000	0	0	
2852	303.000	404.000	-182.500	0.000	0.000	0	0	
2853	303.000	404.000	-183.500	0.000	0.000	0	0	
2854	303.000	404.000	-184.500	0.000	0.000	0	0	
2855	303.000	404.000	-185.500	0.000	0.000	0	0	
2856	303.000	404.000	-186.500	0.000	0.000	0	0	
2857	303.000	404.000	-187.500	0.000	0.000	0	0	
2858	303.000	404.000	-188.500	0.000	0.000	0	0	
2859	303.000	404.000	-189.500	0.000	0.000	0	0	
2860	303.000	404.000	-190.500	0.000	0.000	0	0	
2861	303.000	404.000	-191.500	0.000	0.000	0	0	
2862	303.000	404.000	-192.500	0.000	0.000	0	0	
2863	303.000	404.000	-193.500	0.000	0.000	0	0	
2864	303.000	404.000	-194.500	0.000	0.000	0	0	
2865	303.000	404.000	-195.500	0.000	0.000	0	0	
2866	303.000	404.000	-196.500	0.000	0.000	0	0	
2867	303.000	404.000	-197.500	0.000	0.000	0	0	
2868	303.000	404.000	-198.500	0.000	0.000	0	0	
2869	303.000	404.000	-199.500	0.000	0.000	0	0	
2870	303.000	404.000	-200.500	0.000	0.000	0	0	
2871	303.000	404.000	-201.500	0.000	0.000	0	0	
2872	303.000	404.000	-202.500	0.000	0.000	0	0	
2873	303.000	404.000	-203.500	0.000	0.000	0	0	
2874	303.000	404.000	-204.500	0.000	0.000	0	0	
2875	303.000	404.000	-205.500	0.000	0.000	0	0	
2876	303.000	404.000	-206.500	0.000	0.000	0	0	
2877	303.000	404.000	-207.500	0.000	0.000	0	0	
2878	303.000	404.000	-208.500	0.000	0.000	0	0	
2879	303.000	404.000	-209.500	0.000	0.000	0	0	
2880	303.000	404.000	-210.500	0.000	0.000	0	0	
2881	303.000	404.000	-211.500	0.000	0.000	0	0	
2882	303.000	404.000	-212.500	0.000	0.000	0	0	
2883	303.000	404.000	-213.500	0.000	0.000	0	0	
2884	303.000	404.000	-214.500	0.000	0.000	0	0	
2885	303.000	404.000	-215.500	0.000	0.000	0	0	
2886	303.000	404.000	-216.500	0.000	0.000	0	0	
2887	303.000	404.000	-217.500	0.000	0.000	0	0	
2888	303.000	404.000	-218.500	0.000	0.000	0	0	
2889	303.000	404.000	-219.500	0.000	0.000	0	0	
2890	303.000	404.000	-220.500	0.000	0.000	0	0	
2891	303.000	404.000	-221.500	0.000	0.000	0	0	
2892	303.000	404.000	-222.500	0.000	0.000	0	0	
2893	303.000	404.000	-223.500	0.000	0.000	0	0	
2894	303.000	404.000	-224.500	0.000	0.000	0	0	
2895	303.000	404.000	-225.500	0.000	0.000	0	0	
2896	303.000	404.000	-226.500	0.000	0.000	0	0	
2897	303.000	404.000	-227.500	0.000	0.000	0	0	
2898	303.000	404.000	-228.500	0.000	0.000	0	0	
2899	303.000	404.000	-229.500	0.000	0.000	0	0	
2900	303.000	404.000	-230.500	0.000	0.000	0	0	
2901	303.000	404.000	-231.500	0.000	0.000	0	0	
2902	303.000	404.000	-232.500	0.000	0.000	0	0	
2903	303.000	404.000	-233.500	0.000	0.000	0	0	
2904	303.000	404.000	-234.500	0.000	0.000	0	0	
2905	303.000	404.000	-235.500	0.000	0.000	0	0	
2906	303.000	404.000	-236.500	0.000	0.000	0	0	
2907	303.000	404.000	-237.500	0.000	0.000	0	0	
2908	303.000	404.000	-238.500	0.000	0.000	0	0	
2909	303.000	404.000	-239.500	0.000	0.000	0	0	
2910	303.000	404.000	-240.500	0.000	0.000	0	0	
2911	303.000	404.000	-241.500	0.000	0.000	0	0	
2912	303.000	404.000	-242.500	0.000	0.000	0	0	
2913	303.000	404.000	-243.500	0.000	0.000	0	0	
2914	303.000	404.000	-244.500	0.000	0.000	0	0	
2915	303.000	404.000	-245.500	0.000	0.000	0	0	
2916	303.000	404.000	-246.500	0.000	0.000	0	0	
2917	303.000	404.000	-247.500	0.000	0.000	0	0	
2918	303.000	404.000	-248.500	0.000	0.000	0	0	
2919	303.000	404.000	-249.500	0.000	0.000	0	0	
